_org,_report,Última actividad,Propietario de la cuenta,Nombre de la cuenta,Estado o provincia de facturación (solamente texto),Tipo,Valoración,Fecha de la última modificación
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,Edge Communications,TX,Customer - Direct,Hot,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,Burlington Textiles Corp of America,NC,Customer - Direct,Warm,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,Pyramid Construction Inc.,,Customer - Channel,,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,Dickenson plc,KS,Customer - Channel,,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,Grand Hotels & Resorts Ltd,IL,Customer - Direct,Warm,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,United Oil & Gas Corp.,NY,Customer - Direct,Hot,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,Express Logistics and Transport,OR,Customer - Channel,Cold,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,University of Arizona,AZ,Customer - Direct,Warm,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,"United Oil & Gas, UK",UK,Customer - Direct,,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,"United Oil & Gas, Singapore",Singapore,Customer - Direct,,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,GenePoint,CA,Customer - Channel,Cold,16/4/2026
Dev-Org-1,Test Multi-Org Report,,OrgFarm EPIC,sForce,CA,,,16/4/2026
Dev-Org-1,Test Multi-Org Report,,Automated Process,Sample Account for Entitlements,,,,16/4/2026
